

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

141.462  001.014  001.014: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/opt/LuaSnip/plugin/luasnip.vim
142.085  000.391  000.391: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/opt/LuaSnip/plugin/luasnip.vim
142.658  000.349  000.349: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/opt/LuaSnip/plugin/luasnip.vim
150.645  010.498  008.744: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/cmp_luasnip/after/plugin/cmp_luasnip.lua
153.182  002.351  002.351: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/cmp-path/after/plugin/cmp_path.lua
155.906  002.578  002.578: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/start/cmp-buffer/after/plugin/cmp_buffer.lua
157.065  000.076  000.076: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/opt/plenary.nvim/plugin/plenary.vim
157.344  000.047  000.047: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/opt/plenary.nvim/plugin/plenary.vim
157.601  000.046  000.046: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/opt/plenary.nvim/plugin/plenary.vim
165.746  009.554  009.385: sourcing /home/elianiva/.config/nvim/after/plugin/gitsigns.lua
174.153  008.276  008.276: sourcing /home/elianiva/.config/nvim/after/plugin/nvim-treesitter.lua
174.325  001.677: loading after plugins
174.349  000.024: inits 3
178.293  003.944: reading ShaDa
178.943  000.108  000.108: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/opt/vim-matchup/autoload/matchup/ts_engine.vim
180.075  000.040  000.040: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/opt/vim-matchup/autoload/matchup/re.vim
180.554  002.113: opening buffers
180.602  000.048: BufEnter autocommands
180.606  000.005: editing files in windows
200.166  019.559: VimEnter autocommands
200.176  000.010: UIEnter autocommands
200.178  000.003: before starting main loop
200.527  000.148  000.148: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/opt/vim-matchup/autoload/matchup/pos.vim
202.694  000.070  000.070: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/opt/nvim-web-devicons/plugin/nvim-web-devicons.vim
202.944  000.016  000.016: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/opt/nvim-web-devicons/plugin/nvim-web-devicons.vim
203.295  000.020  000.020: sourcing /home/elianiva/.local/share/nvim/site/pack/packer/opt/nvim-web-devicons/plugin/nvim-web-devicons.vim
208.659  008.228: first screen update
208.667  000.008: --- NVIM STARTED ---
